site,direction,count,frequency_pct
donegal,E,4017,3.0548457747764193
donegal,ENE,3621,2.753695929914218
donegal,ESE,6340,4.821439435420089
donegal,N,5659,4.303552959785849
donegal,NE,3390,2.578025187077934
donegal,NNE,4284,3.2578937762365396
donegal,NNW,6656,5.061750927784876
donegal,NW,7346,5.586481718075074
donegal,S,10609,8.067926020563364
donegal,SE,8382,6.374338382916591
donegal,SSE,9703,7.3789316785301455
donegal,SSW,11904,9.052746851615257
donegal,SW,13654,10.383585812496197
donegal,W,12355,9.395723063819432
donegal,WNW,9535,7.251171138285575
donegal,WSW,14041,10.67789134270244
galway,E,4840,3.6807203260935695
galway,ENE,4184,3.1818458356147716
galway,ESE,5489,4.174271460728844
galway,N,6007,4.568199793149601
galway,NE,3919,2.9803187929670862
galway,NNE,4875,3.7073371053111885
galway,NNW,7143,5.432104398612886
galway,NW,8867,6.743170894932166
galway,S,8676,6.597919328344588
galway,SE,6581,5.00471497231855
galway,SSE,7469,5.68002068503985
galway,SSW,11791,8.96681267871266
galway,SW,14132,10.747094968668248
galway,W,12761,9.704477702743809
galway,WNW,10844,8.246638681024518
galway,WSW,13918,10.584352375737666
kerry,E,4169,3.1704386445215063
kerry,ENE,4088,3.1088398126178745
kerry,ESE,4839,3.6799598466873515
kerry,N,6300,4.791020259171382
kerry,NE,4451,3.384893837074892
kerry,NNE,4658,3.542313074161952
kerry,NNW,8174,6.216158666423313
kerry,NW,8543,6.496775567317636
kerry,S,10359,7.8778061690089425
kerry,SE,6155,4.680750745269818
kerry,SSE,8079,6.143913122832634
kerry,SSW,12423,9.447435663442235
kerry,SW,13572,10.321226501186349
kerry,W,11912,9.058830686864999
kerry,WNW,10260,7.802518707793393
kerry,WSW,13514,10.277118695625722
mayo,E,4778,3.6335706029080734
mayo,ENE,3686,2.803127091318367
mayo,ESE,6262,4.762122041735109
mayo,N,5709,4.341576930096733
mayo,NE,3599,2.736965382977429
mayo,NNE,4791,3.6434568351889034
mayo,NNW,6421,4.8830382673237205
mayo,NW,7936,6.0351645677435055
mayo,S,8860,6.737847539088642
mayo,SE,7203,5.477733162985946
mayo,SSE,7959,6.052655594086512
mayo,SSW,11764,8.946279734744783
mayo,SW,13887,10.560777514144917
mayo,W,13294,10.109813226257833
mayo,WNW,10925,8.30823751292815
mayo,WSW,14422,10.967633996471376
midlands,E,4327,3.2905943907039
midlands,ENE,5331,4.05411571454645
midlands,ESE,4069,3.0943907038997387
midlands,N,4507,3.4274806838230822
midlands,NE,4273,3.249528502768145
midlands,NNE,3990,3.034312830808542
midlands,NNW,5826,4.430553020624202
midlands,NW,7610,5.787248281316542
midlands,S,12020,9.140962462736509
midlands,SE,5668,4.310397274441808
midlands,SSE,8066,6.134026890551804
midlands,SSW,12302,9.355417655289894
midlands,SW,13556,10.309058830686865
midlands,W,13969,10.623136825454766
midlands,WNW,10325,7.851949869197542
midlands,WSW,15657,11.90682606315021
