turbine_a,turbine_b,dx_m,dy_m,spacing_m
T01,T02,-481,481,680.2367235014588
T02,T03,-481,481,680.2367235014588
T04,T05,-481,481,680.2367235014588
T05,T06,-481,481,680.2367235014588
T07,T08,-481,481,680.2367235014588
T08,T09,-481,481,680.2367235014588
T10,T11,-481,481,680.2367235014588
T11,T12,-481,481,680.2367235014588
T05,T08,-673,-673,951.7657274770929
T06,T09,-673,-673,951.7657274770929
T04,T07,-673,-673,951.7657274770929
T07,T10,-673,-673,951.7657274770929
T03,T06,-673,-673,951.7657274770929
T01,T04,-673,-673,951.7657274770929
T08,T11,-673,-673,951.7657274770929
T02,T05,-673,-673,951.7657274770929
T09,T12,-673,-673,951.7657274770929
T04,T08,-1154,-192,1169.8632398703705
T06,T08,-192,-1154,1169.8632398703705
T05,T07,-192,-1154,1169.8632398703705
T07,T11,-1154,-192,1169.8632398703705
T08,T12,-1154,-192,1169.8632398703705
T02,T06,-1154,-192,1169.8632398703705
T05,T09,-1154,-192,1169.8632398703705
T01,T05,-1154,-192,1169.8632398703705
T03,T05,-192,-1154,1169.8632398703705
T08,T10,-192,-1154,1169.8632398703705
T09,T11,-192,-1154,1169.8632398703705
T02,T04,-192,-1154,1169.8632398703705
T04,T06,-962,962,1360.4734470029175
T01,T03,-962,962,1360.4734470029175
T07,T09,-962,962,1360.4734470029175
T10,T12,-962,962,1360.4734470029175
T06,T07,289,-1635,1660.345144841879
T09,T10,289,-1635,1660.345144841879
T07,T12,-1635,289,1660.345144841879
T04,T09,-1635,289,1660.345144841879
T01,T06,-1635,289,1660.345144841879
T03,T04,289,-1635,1660.345144841879
T03,T09,-1346,-1346,1903.5314549541858
T05,T11,-1346,-1346,1903.5314549541858
T06,T12,-1346,-1346,1903.5314549541858
T02,T08,-1346,-1346,1903.5314549541858
T04,T10,-1346,-1346,1903.5314549541858
T01,T07,-1346,-1346,1903.5314549541858
T03,T08,-865,-1827,2021.4237556732137
T02,T09,-1827,-865,2021.4237556732137
T04,T11,-1827,-865,2021.4237556732137
T06,T11,-865,-1827,2021.4237556732137
T05,T12,-1827,-865,2021.4237556732137
T05,T10,-865,-1827,2021.4237556732137
T01,T08,-1827,-865,2021.4237556732137
T02,T07,-865,-1827,2021.4237556732137
T01,T09,-2308,-384,2339.726479740741
T04,T12,-2308,-384,2339.726479740741
T03,T07,-384,-2308,2339.726479740741
T06,T10,-384,-2308,2339.726479740741
T02,T11,-2019,-2019,2855.297182431279
T03,T12,-2019,-2019,2855.297182431279
T01,T10,-2019,-2019,2855.297182431279
T02,T10,-1538,-2500,2935.2076587526135
T03,T11,-1538,-2500,2935.2076587526135
T01,T11,-2500,-1538,2935.2076587526135
T02,T12,-2500,-1538,2935.2076587526135
T01,T12,-2981,-1057,3162.8483997814374
T03,T10,-1057,-2981,3162.8483997814374
