site,month,month_name,records,mean_ws_100,mean_ws_10,mean_power_density,mean_rho
donegal,1,Jan,11160,7.8680214647642,4.600422335982709,500.9979773526157,1.2383360153977743
donegal,2,Feb,10176,7.92244895065111,4.714463030782214,494.00969034394745,1.234382113950475
donegal,3,Mar,11160,7.321251763688537,4.396069748470643,390.045108523161,1.235629897695493
donegal,4,Apr,10800,6.672765156611364,4.052393193371285,313.0603214275322,1.2322946905928536
donegal,5,May,11160,6.626380884779296,4.077391470848703,301.8353262802513,1.2253000314955236
donegal,6,Jun,10800,6.52225168640751,4.044777284334083,288.6606167342616,1.2182270886272595
donegal,7,Jul,11160,6.2652132211060065,3.85138407392229,266.8852909487639,1.213992319333005
donegal,8,Aug,11160,6.84343867462922,4.170829314657056,318.38316934101186,1.2149783216926637
donegal,9,Sep,10800,7.077233244878211,4.239821253708354,356.45745490996256,1.220388546950624
donegal,10,Oct,11160,7.455318131907999,4.391110303058345,394.1523599706536,1.224076231813907
donegal,11,Nov,10800,7.5420657746569395,4.398651502208227,431.98290650118366,1.2344943119589384
donegal,12,Dec,11160,8.265146550114464,4.854766972189354,567.1310253806961,1.2330300418958537
galway,1,Jan,11160,8.445390151995214,5.223372026041095,676.7745709833684,1.244840338137809
galway,2,Feb,10176,8.887136194900656,5.577569868028768,713.281634018399,1.2412376892611328
galway,3,Mar,11160,7.874755595971217,4.960148640773325,508.83163860806025,1.2429325145373185
galway,4,Apr,10800,7.234820904187893,4.595614255986032,413.0195298946424,1.2394330865361944
galway,5,May,11160,7.253894188059682,4.67383372665247,412.67160536734843,1.233544750427308
galway,6,Jun,10800,7.314465001265831,4.736560725959075,412.84643115754983,1.22685561017376
galway,7,Jul,11160,6.936368921366418,4.477501827294761,372.99232763556,1.2223818289434942
galway,8,Aug,11160,7.599495851724031,4.868407946416742,443.6675899801369,1.2228251009307343
galway,9,Sep,10800,7.804786416816691,4.915765964274148,494.10114543386806,1.2276195516359252
galway,10,Oct,11160,8.17979364253211,5.081833832845033,559.1843164583197,1.2307091743793472
galway,11,Nov,10800,8.26024612625856,5.095651798421062,594.1047379913398,1.241155915742344
galway,12,Dec,11160,9.207607501624148,5.716121669995178,797.4375598171611,1.2393482897483015
kerry,1,Jan,11160,7.553539338647546,4.572310412825474,498.14795986914277,1.2478092366696685
kerry,2,Feb,10176,8.100266235928572,5.000412342911981,547.7174085576371,1.243539336631205
kerry,3,Mar,11160,7.070712167367023,4.39907835008475,386.17664177376497,1.2449264359590988
kerry,4,Apr,10800,6.638411753229589,4.179670025192246,331.87954694784736,1.2410087134600822
kerry,5,May,11160,6.6313612469983365,4.248622497031387,323.6628645635239,1.2356284530780837
kerry,6,Jun,10800,6.774382169497567,4.35941762299456,329.46092940385853,1.2286668727370016
kerry,7,Jul,11160,6.509930149739016,4.1672475391876365,305.5803217377917,1.2242007243834991
kerry,8,Aug,11160,6.861998544421013,4.342905338569553,340.01676413304904,1.2247922590451275
kerry,9,Sep,10800,7.088624018030362,4.41134413307657,373.1266940821806,1.229536785110206
kerry,10,Oct,11160,7.376411839592438,4.499806276658142,421.8514012905507,1.2323987451681322
kerry,11,Nov,10800,7.620705794435179,4.626171885174153,477.52806035117305,1.2432100256179985
kerry,12,Dec,11160,8.394500011016005,5.0981920679846375,606.5537588084721,1.2417850066841944
mayo,1,Jan,11160,7.7003929372919195,4.565136082142513,509.7903176902563,1.245507637337427
mayo,2,Feb,10176,8.063766406325332,4.872902990475795,532.4928456302115,1.2414423937689916
mayo,3,Mar,11160,7.244273608124662,4.407330484238499,393.6106621951378,1.2428591689702648
mayo,4,Apr,10800,6.687324485254972,4.119933055965113,322.5496270400083,1.239143107914664
mayo,5,May,11160,6.71053566210814,4.196482493328737,319.51387295231,1.233011728552157
mayo,6,Jun,10800,6.697306324886982,4.214719627333491,313.09333298091747,1.2262401791877913
mayo,7,Jul,11160,6.367771442454919,3.9904778032496284,284.11967823442995,1.2217142800546994
mayo,8,Aug,11160,6.9710343554422405,4.327212782386635,339.9155332487943,1.2224309648614233
mayo,9,Sep,10800,7.116372207694826,4.326615665432334,373.1510418511357,1.2275332000396115
mayo,10,Oct,11160,7.441259167714515,4.4474415007152786,416.00216484149644,1.2309979452532354
mayo,11,Nov,10800,7.479030486873308,4.4296980967051995,439.243725070398,1.241766304777134
mayo,12,Dec,11160,8.329722921162833,4.956640106547512,592.4205620362337,1.2399969636327501
midlands,1,Jan,11160,7.104878358859097,4.1011153000663185,363.40005383887217,1.2485374299562968
midlands,2,Feb,10176,7.323630108499956,4.314761336348764,379.2034741106354,1.2432807679062385
midlands,3,Mar,11160,6.688483254912254,3.9739611587786507,292.69892985614746,1.243939320352551
midlands,4,Apr,10800,6.25198450765752,3.7505725237819245,248.45055843293724,1.2401083282556429
midlands,5,May,11160,6.15175531530388,3.7316643616746568,233.59436451706145,1.2326365002367818
midlands,6,Jun,10800,6.1247252328132635,3.734178856636115,230.3717844143791,1.2246803004104478
midlands,7,Jul,11160,5.959807457948037,3.614251642234765,212.9285027515522,1.2200051373246141
midlands,8,Aug,11160,6.374348709592727,3.834435740311572,247.44282606933334,1.222410060456634
midlands,9,Sep,10800,6.59979274469484,3.9107516561696793,275.76652625489817,1.2284618395226303
midlands,10,Oct,11160,6.892886891641329,4.001052432853127,309.7673214581669,1.232314416217346
midlands,11,Nov,10800,7.0678003919999215,4.064390117118352,339.6788138477761,1.2438229134465688
midlands,12,Dec,11160,7.645727225819437,4.419787201355481,423.2073078934803,1.242210985378603
