turbine_id,easting_m,northing_m,hub_height_m,rotor_diameter_m,rated_power_mw,turbine_model,layout_name,site,crs,gross_aep_gwh,net_aep_gwh,wake_loss_gwh,wake_loss_pct,capacity_factor_net
T12,447270,5927098,112,136,4.2,Vestas V136-4.2 MW,baseline_aligned,baseline,EPSG:32629,11.57774874774561,11.31904349771737,0.25870525002823896,2.234503923559521,0.3076495840866865
T10,448232,5926136,112,136,4.2,Vestas V136-4.2 MW,baseline_aligned,baseline,EPSG:32629,11.57774874774561,11.257230978980065,0.3205177687655443,2.7683945795416807,0.30596953084855577
T11,447751,5926617,112,136,4.2,Vestas V136-4.2 MW,baseline_aligned,baseline,EPSG:32629,11.57774874774561,11.110124493040868,0.46762425470474156,4.038991214037152,0.3019712027897605
T03,449289,5929117,112,136,4.2,Vestas V136-4.2 MW,baseline_aligned,baseline,EPSG:32629,11.57774874774561,11.097978934305177,0.47976981344043246,4.143895535251204,0.301641088668873
T09,447943,5927771,112,136,4.2,Vestas V136-4.2 MW,baseline_aligned,baseline,EPSG:32629,11.57774874774561,11.090029046991818,0.48771970075379123,4.212560760992147,0.3014250121491579
T06,448616,5928444,112,136,4.2,Vestas V136-4.2 MW,baseline_aligned,baseline,EPSG:32629,11.57774874774561,11.035813288436946,0.5419354593086627,4.68083624127866,0.2999514374982862
T01,450251,5928155,112,136,4.2,Vestas V136-4.2 MW,baseline_aligned,baseline,EPSG:32629,11.57774874774561,11.01559790955595,0.5621508381896589,4.855441679014839,0.2994019871046953
T07,448905,5926809,112,136,4.2,Vestas V136-4.2 MW,baseline_aligned,baseline,EPSG:32629,11.57774874774561,11.011400742479978,0.5663480052656311,4.891693692833929,0.29928790885192375
T04,449578,5927482,112,136,4.2,Vestas V136-4.2 MW,baseline_aligned,baseline,EPSG:32629,11.57774874774561,10.949761373395198,0.6279873743504112,5.424088810639386,0.2976125617904761
T08,448424,5927290,112,136,4.2,Vestas V136-4.2 MW,baseline_aligned,baseline,EPSG:32629,11.57774874774561,10.824976357911165,0.7527723898344441,6.501889151645496,0.2942209273187422
T02,449770,5928636,112,136,4.2,Vestas V136-4.2 MW,baseline_aligned,baseline,EPSG:32629,11.57774874774561,10.819313671639904,0.7584350761057053,6.550799232479336,0.29406701651554423
T05,449097,5927963,112,136,4.2,Vestas V136-4.2 MW,baseline_aligned,baseline,EPSG:32629,11.57774874774561,10.724961389725276,0.8527873580203327,7.365744209869689,0.29150253831608164
